"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001EA","S1901_C01_001M","S1901_C01_001MA","S1901_C01_002E","S1901_C01_002M","S1901_C01_002MA","S1901_C01_002EA","S1901_C01_003E","S1901_C01_003EA","S1901_C01_003M","S1901_C01_003MA","S1901_C01_004E","S1901_C01_004EA","S1901_C01_004M","S1901_C01_004MA","S1901_C01_005E","S1901_C01_005M","S1901_C01_005MA","S1901_C01_005EA","S1901_C01_006E","S1901_C01_006M","S1901_C01_006MA","S1901_C01_006EA","S1901_C01_007E","S1901_C01_007M","S1901_C01_007MA","S1901_C01_007EA","S1901_C01_008E","S1901_C01_008EA","S1901_C01_008M","S1901_C01_008MA","S1901_C01_009E","S1901_C01_009EA","S1901_C01_009M","S1901_C01_009MA","S1901_C01_010E","S1901_C01_010M","S1901_C01_010MA","S1901_C01_010EA","S1901_C01_011E","S1901_C01_011EA","S1901_C01_011M","S1901_C01_011MA","S1901_C01_012E","S1901_C01_012M","S1901_C01_012MA","S1901_C01_012EA","S1901_C01_013E","S1901_C01_013M","S1901_C01_013MA","S1901_C01_013EA","S1901_C01_014E","S1901_C01_014M","S1901_C01_014MA","S1901_C01_014EA","S1901_C01_015E","S1901_C01_015M","S1901_C01_015MA","S1901_C01_015EA","S1901_C01_016E","S1901_C01_016M","S1901_C01_016MA","S1901_C01_016EA","S1901_C02_001E","S1901_C02_001EA","S1901_C02_001M","S1901_C02_001MA","S1901_C02_002E","S1901_C02_002M","S1901_C02_002MA","S1901_C02_002EA","S1901_C02_003E","S1901_C02_003EA","S1901_C02_003M","S1901_C02_003MA","S1901_C02_004E","S1901_C02_004M","S1901_C02_004MA","S1901_C02_004EA","S1901_C02_005E","S1901_C02_005M","S1901_C02_005MA","S1901_C02_005EA","S1901_C02_006E","S1901_C02_006M","S1901_C02_006MA","S1901_C02_006EA","S1901_C02_007E","S1901_C02_007M","S1901_C02_007MA","S1901_C02_007EA","S1901_C02_008E","S1901_C02_008EA","S1901_C02_008M","S1901_C02_008MA","S1901_C02_009E","S1901_C02_009M","S1901_C02_009MA","S1901_C02_009EA","S1901_C02_010E","S1901_C02_010EA","S1901_C02_010M","S1901_C02_010MA","S1901_C02_011E","S1901_C02_011EA","S1901_C02_011M","S1901_C02_011MA","S1901_C02_012E","S1901_C02_012EA","S1901_C02_012M","S1901_C02_012MA","S1901_C02_013E","S1901_C02_013M","S1901_C02_013MA","S1901_C02_013EA","S1901_C02_014E","S1901_C02_014M","S1901_C02_014MA","S1901_C02_014EA","S1901_C02_015E","S1901_C02_015EA","S1901_C02_015M","S1901_C02_015MA","S1901_C02_016E","S1901_C02_016M","S1901_C02_016MA","S1901_C02_016EA","S1901_C03_001E","S1901_C03_001EA","S1901_C03_001M","S1901_C03_001MA","S1901_C03_002E","S1901_C03_002M","S1901_C03_002MA","S1901_C03_002EA","S1901_C03_003E","S1901_C03_003M","S1901_C03_003MA","S1901_C03_003EA","S1901_C03_004E","S1901_C03_004M","S1901_C03_004MA","S1901_C03_004EA","S1901_C03_005E","S1901_C03_005EA","S1901_C03_005M","S1901_C03_005MA","S1901_C03_006E","S1901_C03_006M","S1901_C03_006MA","S1901_C03_006EA","S1901_C03_007E","S1901_C03_007M","S1901_C03_007MA","S1901_C03_007EA","S1901_C03_008E","S1901_C03_008EA","S1901_C03_008M","S1901_C03_008MA","S1901_C03_009E","S1901_C03_009M","S1901_C03_009MA","S1901_C03_009EA","S1901_C03_010E","S1901_C03_010M","S1901_C03_010MA","S1901_C03_010EA","S1901_C03_011E","S1901_C03_011M","S1901_C03_011MA","S1901_C03_011EA","S1901_C03_012E","S1901_C03_012M","S1901_C03_012MA","S1901_C03_012EA","S1901_C03_013E","S1901_C03_013EA","S1901_C03_013M","S1901_C03_013MA","S1901_C03_014E","S1901_C03_014M","S1901_C03_014MA","S1901_C03_014EA","S1901_C03_015E","S1901_C03_015M","S1901_C03_015MA","S1901_C03_015EA","S1901_C03_016E","S1901_C03_016EA","S1901_C03_016M","S1901_C03_016MA","S1901_C04_001E","S1901_C04_001M","S1901_C04_001MA","S1901_C04_001EA","S1901_C04_002E","S1901_C04_002EA","S1901_C04_002M","S1901_C04_002MA","S1901_C04_003E","S1901_C04_003M","S1901_C04_003MA","S1901_C04_003EA","S1901_C04_004E","S1901_C04_004M","S1901_C04_004MA","S1901_C04_004EA","S1901_C04_005E","S1901_C04_005EA","S1901_C04_005M","S1901_C04_005MA","S1901_C04_006E","S1901_C04_006EA","S1901_C04_006M","S1901_C04_006MA","S1901_C04_007E","S1901_C04_007M","S1901_C04_007MA","S1901_C04_007EA","S1901_C04_008E","S1901_C04_008EA","S1901_C04_008M","S1901_C04_008MA","S1901_C04_009E","S1901_C04_009M","S1901_C04_009MA","S1901_C04_009EA","S1901_C04_010E","S1901_C04_010M","S1901_C04_010MA","S1901_C04_010EA","S1901_C04_011E","S1901_C04_011M","S1901_C04_011MA","S1901_C04_011EA","S1901_C04_012E","S1901_C04_012M","S1901_C04_012MA","S1901_C04_012EA","S1901_C04_013E","S1901_C04_013EA","S1901_C04_013M","S1901_C04_013MA","S1901_C04_014E","S1901_C04_014M","S1901_C04_014MA","S1901_C04_014EA","S1901_C04_015E","S1901_C04_015M","S1901_C04_015MA","S1901_C04_015EA","S1901_C04_016E","S1901_C04_016EA","S1901_C04_016M","S1901_C04_016MA",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Annotation of Estimate!!Households!!Total","Margin of Error!!Households MOE!!Total","Annotation of Margin of Error!!Households MOE!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households MOE!!Total!!Less than $10,000","Annotation of Margin of Error!!Households MOE!!Total!!Less than $10,000","Annotation of Estimate!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Annotation of Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households MOE!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Households MOE!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Annotation of Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households MOE!!Total!!$15,000 to $24,999","Annotation of Margin of Error!!Households MOE!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households MOE!!Total!!$25,000 to $34,999","Annotation of Margin of Error!!Households MOE!!Total!!$25,000 to $34,999","Annotation of Estimate!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households MOE!!Total!!$35,000 to $49,999","Annotation of Margin of Error!!Households MOE!!Total!!$35,000 to $49,999","Annotation of Estimate!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households MOE!!Total!!$50,000 to $74,999","Annotation of Margin of Error!!Households MOE!!Total!!$50,000 to $74,999","Annotation of Estimate!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Annotation of Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households MOE!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Households MOE!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Annotation of Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households MOE!!Total!!$100,000 to $149,999","Annotation of Margin of Error!!Households MOE!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households MOE!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Households MOE!!Total!!$150,000 to $199,999","Annotation of Estimate!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Annotation of Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households MOE!!Total!!$200,000 or more","Annotation of Margin of Error!!Households MOE!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households MOE!!Median income (dollars)","Annotation of Margin of Error!!Households MOE!!Median income (dollars)","Annotation of Estimate!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households MOE!!Mean income (dollars)","Annotation of Margin of Error!!Households MOE!!Mean income (dollars)","Annotation of Estimate!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Annotation of Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Annotation of Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Annotation of Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Annotation of Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Annotation of Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Annotation of Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Annotation of Estimate!!Families!!Total","Margin of Error!!Families MOE!!Total","Annotation of Margin of Error!!Families MOE!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families MOE!!Total!!Less than $10,000","Annotation of Margin of Error!!Families MOE!!Total!!Less than $10,000","Annotation of Estimate!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Annotation of Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families MOE!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Families MOE!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families MOE!!Total!!$15,000 to $24,999","Annotation of Margin of Error!!Families MOE!!Total!!$15,000 to $24,999","Annotation of Estimate!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families MOE!!Total!!$25,000 to $34,999","Annotation of Margin of Error!!Families MOE!!Total!!$25,000 to $34,999","Annotation of Estimate!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families MOE!!Total!!$35,000 to $49,999","Annotation of Margin of Error!!Families MOE!!Total!!$35,000 to $49,999","Annotation of Estimate!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families MOE!!Total!!$50,000 to $74,999","Annotation of Margin of Error!!Families MOE!!Total!!$50,000 to $74,999","Annotation of Estimate!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Annotation of Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families MOE!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Families MOE!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families MOE!!Total!!$100,000 to $149,999","Annotation of Margin of Error!!Families MOE!!Total!!$100,000 to $149,999","Annotation of Estimate!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Annotation of Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families MOE!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Families MOE!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Annotation of Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families MOE!!Total!!$200,000 or more","Annotation of Margin of Error!!Families MOE!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Annotation of Estimate!!Families!!Median income (dollars)","Margin of Error!!Families MOE!!Median income (dollars)","Annotation of Margin of Error!!Families MOE!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families MOE!!Mean income (dollars)","Annotation of Margin of Error!!Families MOE!!Mean income (dollars)","Annotation of Estimate!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Annotation of Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Annotation of Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Annotation of Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Annotation of Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Annotation of Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Annotation of Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Annotation of Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families MOE!!Total","Annotation of Margin of Error!!Married-couple families MOE!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families MOE!!Total!!Less than $10,000","Annotation of Margin of Error!!Married-couple families MOE!!Total!!Less than $10,000","Annotation of Estimate!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families MOE!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Married-couple families MOE!!Total!!$10,000 to $14,999","Annotation of Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families MOE!!Total!!$15,000 to $24,999","Annotation of Margin of Error!!Married-couple families MOE!!Total!!$15,000 to $24,999","Annotation of Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Annotation of Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families MOE!!Total!!$25,000 to $34,999","Annotation of Margin of Error!!Married-couple families MOE!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families MOE!!Total!!$35,000 to $49,999","Annotation of Margin of Error!!Married-couple families MOE!!Total!!$35,000 to $49,999","Annotation of Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families MOE!!Total!!$50,000 to $74,999","Annotation of Margin of Error!!Married-couple families MOE!!Total!!$50,000 to $74,999","Annotation of Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Annotation of Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families MOE!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Married-couple families MOE!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families MOE!!Total!!$100,000 to $149,999","Annotation of Margin of Error!!Married-couple families MOE!!Total!!$100,000 to $149,999","Annotation of Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families MOE!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Married-couple families MOE!!Total!!$150,000 to $199,999","Annotation of Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families MOE!!Total!!$200,000 or more","Annotation of Margin of Error!!Married-couple families MOE!!Total!!$200,000 or more","Annotation of Estimate!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families MOE!!Median income (dollars)","Annotation of Margin of Error!!Married-couple families MOE!!Median income (dollars)","Annotation of Estimate!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Annotation of Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families MOE!!Mean income (dollars)","Annotation of Margin of Error!!Married-couple families MOE!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Annotation of Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Annotation of Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Annotation of Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Annotation of Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Annotation of Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Annotation of Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households MOE!!Total","Annotation of Margin of Error!!Nonfamily households MOE!!Total","Annotation of Estimate!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Annotation of Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households MOE!!Total!!Less than $10,000","Annotation of Margin of Error!!Nonfamily households MOE!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households MOE!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Nonfamily households MOE!!Total!!$10,000 to $14,999","Annotation of Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households MOE!!Total!!$15,000 to $24,999","Annotation of Margin of Error!!Nonfamily households MOE!!Total!!$15,000 to $24,999","Annotation of Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Annotation of Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households MOE!!Total!!$25,000 to $34,999","Annotation of Margin of Error!!Nonfamily households MOE!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Annotation of Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households MOE!!Total!!$35,000 to $49,999","Annotation of Margin of Error!!Nonfamily households MOE!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households MOE!!Total!!$50,000 to $74,999","Annotation of Margin of Error!!Nonfamily households MOE!!Total!!$50,000 to $74,999","Annotation of Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Annotation of Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households MOE!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Nonfamily households MOE!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households MOE!!Total!!$100,000 to $149,999","Annotation of Margin of Error!!Nonfamily households MOE!!Total!!$100,000 to $149,999","Annotation of Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households MOE!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Nonfamily households MOE!!Total!!$150,000 to $199,999","Annotation of Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households MOE!!Total!!$200,000 or more","Annotation of Margin of Error!!Nonfamily households MOE!!Total!!$200,000 or more","Annotation of Estimate!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households MOE!!Median income (dollars)","Annotation of Margin of Error!!Nonfamily households MOE!!Median income (dollars)","Annotation of Estimate!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Annotation of Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households MOE!!Mean income (dollars)","Annotation of Margin of Error!!Nonfamily households MOE!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Annotation of Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Annotation of Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Annotation of Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Annotation of Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Annotation of Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Annotation of Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"8600000US06390","ZCTA5 06390","77","null","41","null","0.0","31.1","null","null","1.3","null","3.8","null","2.6","null","3.9","null","0.0","31.1","null","null","3.9","6.6","null","null","23.4","27.8","null","null","0.0","null","31.1","null","13.0","null","12.1","null","44.2","30.8","null","null","11.7","null","12.3","null","150703","86256","null","null","154456","53783","null","null","57.1","(X)","(X)","null","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","67","null","41","null","0.0","34.3","null","null","1.5","null","4.3","null","0.0","34.3","null","null","0.0","34.3","null","null","1.5","5.6","null","null","23.9","31.7","null","null","0.0","null","34.3","null","11.9","13.7","null","null","50.7","null","33.6","null","10.4","null","12.6","null","151172","null","67633","null","141743","42263","null","null","(X)","(X)","(X)","(X)","62.7","null","(X)","(X)","(X)","(X)","(X)","(X)","51","null","35","null","0.0","39.9","null","null","2.0","5.9","null","null","0.0","39.9","null","null","0.0","null","39.9","null","2.0","7.3","null","null","31.4","37.3","null","null","0.0","null","39.9","null","15.7","18.1","null","null","35.3","37.3","null","null","13.7","16.3","null","null","131875","104286","null","null","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","10","7","null","null","0.0","null","90.1","null","0.0","90.1","null","null","20.0","32.5","null","null","0.0","null","90.1","null","20.0","null","31.4","null","20.0","31.7","null","null","0.0","null","90.1","null","20.0","30.5","null","null","0.0","90.1","null","null","20.0","32.6","null","null","-","**","**","-","239630","null","299225","null","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","20.0","null","(X)","(X)",
"8600000US10001","ZCTA5 10001","12347","null","509","null","9.1","2.2","null","null","4.5","null","1.6","null","8.4","null","2.1","null","3.3","1.1","null","null","8.2","2.2","null","null","11.5","2.3","null","null","10.0","null","2.2","null","15.7","null","2.3","null","7.0","1.6","null","null","22.4","null","2.6","null","85221","9970","null","null","161227","27879","null","null","21.9","(X)","(X)","null","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","3904","null","458","null","5.8","3.7","null","null","4.4","null","3.2","null","8.5","5.1","null","null","2.2","1.3","null","null","7.7","4.4","null","null","6.6","3.1","null","null","14.8","null","5.3","null","12.3","3.3","null","null","8.8","null","3.5","null","29.1","null","5.0","null","103304","null","29429","null","194186","29862","null","null","(X)","(X)","(X)","(X)","28.0","null","(X)","(X)","(X)","(X)","(X)","(X)","2829","null","370","null","1.0","0.9","null","null","2.2","3.4","null","null","6.2","5.2","null","null","2.2","null","1.6","null","8.1","5.3","null","null","7.5","3.7","null","null","8.9","null","4.1","null","14.5","4.3","null","null","11.8","4.9","null","null","37.8","5.9","null","null","149007","18758","null","null","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","8443","397","null","null","10.6","null","2.5","null","4.6","1.9","null","null","8.4","2.3","null","null","3.8","null","1.3","null","8.6","null","2.3","null","13.8","2.9","null","null","8.0","null","1.8","null","17.1","3.1","null","null","6.2","1.9","null","null","19.0","3.0","null","null","75794","8870","null","null","145560","null","35331","null","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","19.0","null","(X)","(X)",
"8600000US10002","ZCTA5 10002","33461","null","596","null","15.0","1.9","null","null","12.6","null","1.4","null","13.1","null","1.6","null","9.0","1.3","null","null","10.1","1.5","null","null","12.5","1.4","null","null","7.9","null","1.2","null","9.2","null","1.2","null","4.2","0.8","null","null","6.4","null","0.9","null","35449","2696","null","null","65718","2750","null","null","30.6","(X)","(X)","null","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","16771","null","698","null","8.4","1.8","null","null","11.0","null","2.1","null","15.3","2.3","null","null","11.9","2.1","null","null","13.8","2.4","null","null","13.3","2.1","null","null","8.5","null","1.5","null","8.3","1.6","null","null","4.3","null","1.0","null","5.2","null","1.1","null","39145","null","3234","null","65905","4241","null","null","(X)","(X)","(X)","(X)","35.4","null","(X)","(X)","(X)","(X)","(X)","(X)","9744","null","618","null","5.4","1.7","null","null","11.2","2.9","null","null","15.2","2.9","null","null","12.6","null","2.8","null","13.0","3.0","null","null","11.7","2.7","null","null","7.2","null","1.8","null","9.7","2.4","null","null","5.3","1.5","null","null","8.8","1.9","null","null","42485","6118","null","null","79739","null","6823","null","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","16690","805","null","null","22.0","null","3.2","null","14.3","2.2","null","null","11.1","2.1","null","null","6.5","null","1.4","null","6.1","null","1.6","null","11.8","2.0","null","null","7.2","null","1.7","null","9.8","1.6","null","null","4.0","0.9","null","null","7.2","1.5","null","null","28319","3989","null","null","63927","null","4212","null","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","25.5","null","(X)","(X)",
