"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_001MA","S1901_C01_001EA","S1901_C01_002E","S1901_C01_002M","S1901_C01_002MA","S1901_C01_002EA","S1901_C01_003E","S1901_C01_003M","S1901_C01_003MA","S1901_C01_003EA","S1901_C01_004E","S1901_C01_004M","S1901_C01_004MA","S1901_C01_004EA","S1901_C01_005E","S1901_C01_005EA","S1901_C01_005M","S1901_C01_005MA","S1901_C01_006E","S1901_C01_006M","S1901_C01_006MA","S1901_C01_006EA","S1901_C01_007E","S1901_C01_007M","S1901_C01_007MA","S1901_C01_007EA","S1901_C01_008E","S1901_C01_008M","S1901_C01_008MA","S1901_C01_008EA","S1901_C01_009E","S1901_C01_009EA","S1901_C01_009M","S1901_C01_009MA","S1901_C01_010E","S1901_C01_010EA","S1901_C01_010M","S1901_C01_010MA","S1901_C01_011E","S1901_C01_011EA","S1901_C01_011M","S1901_C01_011MA","S1901_C01_012E","S1901_C01_012EA","S1901_C01_012M","S1901_C01_012MA","S1901_C01_013E","S1901_C01_013EA","S1901_C01_013M","S1901_C01_013MA","S1901_C01_014E","S1901_C01_014EA","S1901_C01_014M","S1901_C01_014MA","S1901_C01_015E","S1901_C01_015EA","S1901_C01_015M","S1901_C01_015MA","S1901_C01_016E","S1901_C01_016EA","S1901_C01_016M","S1901_C01_016MA","S1901_C02_001E","S1901_C02_001M","S1901_C02_001MA","S1901_C02_001EA","S1901_C02_002E","S1901_C02_002M","S1901_C02_002MA","S1901_C02_002EA","S1901_C02_003E","S1901_C02_003EA","S1901_C02_003M","S1901_C02_003MA","S1901_C02_004E","S1901_C02_004EA","S1901_C02_004M","S1901_C02_004MA","S1901_C02_005E","S1901_C02_005EA","S1901_C02_005M","S1901_C02_005MA","S1901_C02_006E","S1901_C02_006EA","S1901_C02_006M","S1901_C02_006MA","S1901_C02_007E","S1901_C02_007EA","S1901_C02_007M","S1901_C02_007MA","S1901_C02_008E","S1901_C02_008M","S1901_C02_008MA","S1901_C02_008EA","S1901_C02_009E","S1901_C02_009M","S1901_C02_009MA","S1901_C02_009EA","S1901_C02_010E","S1901_C02_010EA","S1901_C02_010M","S1901_C02_010MA","S1901_C02_011E","S1901_C02_011M","S1901_C02_011MA","S1901_C02_011EA","S1901_C02_012E","S1901_C02_012M","S1901_C02_012MA","S1901_C02_012EA","S1901_C02_013E","S1901_C02_013EA","S1901_C02_013M","S1901_C02_013MA","S1901_C02_014E","S1901_C02_014EA","S1901_C02_014M","S1901_C02_014MA","S1901_C02_015E","S1901_C02_015EA","S1901_C02_015M","S1901_C02_015MA","S1901_C02_016E","S1901_C02_016EA","S1901_C02_016M","S1901_C02_016MA","S1901_C03_001E","S1901_C03_001EA","S1901_C03_001M","S1901_C03_001MA","S1901_C03_002E","S1901_C03_002M","S1901_C03_002MA","S1901_C03_002EA","S1901_C03_003E","S1901_C03_003EA","S1901_C03_003M","S1901_C03_003MA","S1901_C03_004E","S1901_C03_004M","S1901_C03_004MA","S1901_C03_004EA","S1901_C03_005E","S1901_C03_005M","S1901_C03_005MA","S1901_C03_005EA","S1901_C03_006E","S1901_C03_006EA","S1901_C03_006M","S1901_C03_006MA","S1901_C03_007E","S1901_C03_007EA","S1901_C03_007M","S1901_C03_007MA","S1901_C03_008E","S1901_C03_008M","S1901_C03_008MA","S1901_C03_008EA","S1901_C03_009E","S1901_C03_009M","S1901_C03_009MA","S1901_C03_009EA","S1901_C03_010E","S1901_C03_010M","S1901_C03_010MA","S1901_C03_010EA","S1901_C03_011E","S1901_C03_011EA","S1901_C03_011M","S1901_C03_011MA","S1901_C03_012E","S1901_C03_012M","S1901_C03_012MA","S1901_C03_012EA","S1901_C03_013E","S1901_C03_013M","S1901_C03_013MA","S1901_C03_013EA","S1901_C03_014E","S1901_C03_014EA","S1901_C03_014M","S1901_C03_014MA","S1901_C03_015E","S1901_C03_015M","S1901_C03_015MA","S1901_C03_015EA","S1901_C03_016E","S1901_C03_016M","S1901_C03_016MA","S1901_C03_016EA","S1901_C04_001E","S1901_C04_001EA","S1901_C04_001M","S1901_C04_001MA","S1901_C04_002E","S1901_C04_002EA","S1901_C04_002M","S1901_C04_002MA","S1901_C04_003E","S1901_C04_003EA","S1901_C04_003M","S1901_C04_003MA","S1901_C04_004E","S1901_C04_004EA","S1901_C04_004M","S1901_C04_004MA","S1901_C04_005E","S1901_C04_005EA","S1901_C04_005M","S1901_C04_005MA","S1901_C04_006E","S1901_C04_006M","S1901_C04_006MA","S1901_C04_006EA","S1901_C04_007E","S1901_C04_007EA","S1901_C04_007M","S1901_C04_007MA","S1901_C04_008E","S1901_C04_008M","S1901_C04_008MA","S1901_C04_008EA","S1901_C04_009E","S1901_C04_009M","S1901_C04_009MA","S1901_C04_009EA","S1901_C04_010E","S1901_C04_010EA","S1901_C04_010M","S1901_C04_010MA","S1901_C04_011E","S1901_C04_011M","S1901_C04_011MA","S1901_C04_011EA","S1901_C04_012E","S1901_C04_012M","S1901_C04_012MA","S1901_C04_012EA","S1901_C04_013E","S1901_C04_013EA","S1901_C04_013M","S1901_C04_013MA","S1901_C04_014E","S1901_C04_014M","S1901_C04_014MA","S1901_C04_014EA","S1901_C04_015E","S1901_C04_015M","S1901_C04_015MA","S1901_C04_015EA","S1901_C04_016E","S1901_C04_016EA","S1901_C04_016M","S1901_C04_016MA",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Annotation of Margin of Error!!Households!!Total","Annotation of Estimate!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Annotation of Margin of Error!!Households!!Total!!Less than $10,000","Annotation of Estimate!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Households!!Total!!$10,000 to $14,999","Annotation of Estimate!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Annotation of Margin of Error!!Households!!Total!!$15,000 to $24,999","Annotation of Estimate!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Annotation of Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Annotation of Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Annotation of Margin of Error!!Households!!Total!!$35,000 to $49,999","Annotation of Estimate!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Annotation of Margin of Error!!Households!!Total!!$50,000 to $74,999","Annotation of Estimate!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Households!!Total!!$75,000 to $99,999","Annotation of Estimate!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Annotation of Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Annotation of Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Annotation of Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Annotation of Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Annotation of Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Annotation of Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Annotation of Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Annotation of Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Annotation of Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Annotation of Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Annotation of Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Annotation of Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Annotation of Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Annotation of Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Annotation of Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Annotation of Margin of Error!!Families!!Total","Annotation of Estimate!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Annotation of Margin of Error!!Families!!Total!!Less than $10,000","Annotation of Estimate!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Annotation of Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Annotation of Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Annotation of Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Annotation of Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Annotation of Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Annotation of Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Annotation of Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Annotation of Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Annotation of Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Families!!Total!!$75,000 to $99,999","Annotation of Estimate!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Annotation of Margin of Error!!Families!!Total!!$100,000 to $149,999","Annotation of Estimate!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Annotation of Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Annotation of Margin of Error!!Families!!Total!!$200,000 or more","Annotation of Estimate!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Annotation of Margin of Error!!Families!!Median income (dollars)","Annotation of Estimate!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Annotation of Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Annotation of Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Annotation of Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Annotation of Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Annotation of Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Annotation of Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Annotation of Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Annotation of Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Annotation of Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Annotation of Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Annotation of Margin of Error!!Married-couple families!!Total!!Less than $10,000","Annotation of Estimate!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Annotation of Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Annotation of Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Annotation of Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Annotation of Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Annotation of Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Annotation of Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Annotation of Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Annotation of Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Annotation of Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Annotation of Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Annotation of Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Annotation of Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Annotation of Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Annotation of Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Annotation of Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Annotation of Margin of Error!!Married-couple families!!Median income (dollars)","Annotation of Estimate!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Annotation of Margin of Error!!Married-couple families!!Mean income (dollars)","Annotation of Estimate!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Annotation of Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Annotation of Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Annotation of Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Annotation of Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Annotation of Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Annotation of Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Annotation of Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Annotation of Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Annotation of Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Annotation of Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Annotation of Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Annotation of Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Annotation of Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Annotation of Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Annotation of Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Annotation of Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Annotation of Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Annotation of Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Annotation of Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Annotation of Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Annotation of Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Annotation of Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Annotation of Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Annotation of Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Annotation of Estimate!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Annotation of Margin of Error!!Nonfamily households!!Median income (dollars)","Annotation of Estimate!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Annotation of Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Annotation of Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Annotation of Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Annotation of Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Annotation of Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Annotation of Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Annotation of Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Annotation of Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"1600000US3651000","New York city, New York","3250657","7016","null","null","7.8","0.1","null","null","5.4","0.1","null","null","8.0","0.1","null","null","7.3","null","0.2","null","9.6","0.2","null","null","14.0","0.2","null","null","11.0","0.2","null","null","15.0","null","0.2","null","8.4","null","0.1","null","13.5","null","0.2","null","70663","null","449","null","113315","null","898","null","45.9","null","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1929690","9272","null","null","5.1","0.2","null","null","3.1","null","0.1","null","7.1","null","0.2","null","7.3","null","0.2","null","10.3","null","0.2","null","14.5","null","0.2","null","11.4","0.2","null","null","16.1","0.2","null","null","9.3","null","0.2","null","15.8","0.2","null","null","80220","638","null","null","127567","null","1288","null","(X)","(X)","(X)","(X)","50.6","null","(X)","(X)","(X)","(X)","(X)","(X)","1190791","null","7644","null","2.1","0.1","null","null","1.8","null","0.1","null","5.1","0.2","null","null","5.6","0.2","null","null","8.4","null","0.2","null","12.9","null","0.3","null","11.6","0.3","null","null","18.0","0.3","null","null","12.0","0.3","null","null","22.5","null","0.4","null","106000","870","null","null","161076","1990","null","null","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1320967","null","7962","null","12.4","null","0.3","null","9.1","null","0.2","null","9.7","null","0.3","null","8.0","null","0.2","null","9.0","0.2","null","null","13.5","null","0.3","null","10.2","0.2","null","null","12.7","0.3","null","null","6.3","null","0.2","null","9.1","0.3","null","null","52862","534","null","null","86931","null","1311","null","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","37.3","null","(X)","(X)",
