,house_number,street,zipcode,boro,latitude,longitude,type_of_violation,status,year_of_violation
621,260,PARKHILL AVENUE,10304,STATEN ISLAND,40.612677,-74.083078,maintenance code violation,Close,2013
622,260,PARKHILL AVENUE,10304,STATEN ISLAND,40.612677,-74.083078,maintenance code violation,Close,2013
623,50,KENILWORTH PLACE,11210,BROOKLYN,40.634803,-73.951065,maintenance code violation,Close,2014
624,50,KENILWORTH PLACE,11210,BROOKLYN,40.634803,-73.951065,maintenance code violation,Close,2014
625,50,KENILWORTH PLACE,11210,BROOKLYN,40.634803,-73.951065,maintenance code violation,Close,2014
626,50,KENILWORTH PLACE,11210,BROOKLYN,40.634803,-73.951065,maintenance code violation,Close,2014
627,50,KENILWORTH PLACE,11210,BROOKLYN,40.634803,-73.951065,maintenance code violation,Close,2014
628,50,KENILWORTH PLACE,11210,BROOKLYN,40.634803,-73.951065,maintenance code violation,Close,2014
629,1562,THIERIOT AVENUE,10460,BRONX,40.839697,-73.865894,maintenance code violation,Close,2017
630,985,EAST 163 STREET,10459,BRONX,40.820991,-73.894121,maintenance code violation,Open,2021
631,888,EAST 96 STREET,11236,BROOKLYN,40.648017,-73.906903,maintenance code violation,Close,2015
632,221-35,90 AVENUE,11428,QUEENS,40.72843,-73.738897,maintenance code violation,Close,2021
633,43-09,40 STREET,11104,QUEENS,40.745219,-73.923971,maintenance code violation,Close,2021
634,147,EAST 118 STREET,10035,MANHATTAN,40.799843,-73.940433,maintenance code violation,Close,2021
635,260,PARKHILL AVENUE,10304,STATEN ISLAND,40.612677,-74.083078,maintenance code violation,Close,2013
636,260,PARKHILL AVENUE,10304,STATEN ISLAND,40.612677,-74.083078,maintenance code violation,Close,2013
637,260,PARKHILL AVENUE,10304,STATEN ISLAND,40.612677,-74.083078,maintenance code violation,Close,2013
638,43-09,40 STREET,11104,QUEENS,40.745219,-73.923971,maintenance code violation,Close,2021
639,170-06,88 AVENUE,11432,QUEENS,40.710405,-73.791399,maintenance code violation,Close,2021
640,1255,STRATFORD AVENUE,10472,BRONX,40.830857,-73.875896,maintenance code violation,Close,2021
641,43-09,40 STREET,11104,QUEENS,40.745219,-73.923971,maintenance code violation,Close,2021
642,69-01,62 STREET,11385,QUEENS,40.703934,-73.894693,maintenance code violation,Open,2018
643,854,JACKSON AVE,10456,BRONX,40.821075,-73.905852,maintenance code violation,Open,2021
644,3459,ELY AVENUE,10469,BRONX,40.879359,-73.84074,maintenance code violation,Close,2021
645,1635,UNION STREET,11213,BROOKLYN,40.668096,-73.935991,maintenance code violation,Close,2021
646,120,EAST 102 STREET,10029,MANHATTAN,40.79003,-73.948983,maintenance code violation,Open,2021
647,277,DAHILL ROAD,11218,BROOKLYN,40.640818,-73.980114,maintenance code violation,Close,2021
648,547,WEST 186 STREET,10033,MANHATTAN,40.851957,-73.930461,maintenance code violation,Close,2021
649,3459,ELY AVENUE,10469,BRONX,40.879359,-73.84074,maintenance code violation,Close,2021
650,87-40,165 STREET,11432,QUEENS,40.709484,-73.797988,maintenance code violation,Close,2015
651,899,MONTGOMERY STREET,11213,BROOKLYN,40.664552,-73.935194,maintenance code violation,Close,2018
652,61-05,39 AVENUE,11377,QUEENS,40.747149,-73.902481,maintenance code violation,Open,2021
653,61-05,39 AVENUE,11377,QUEENS,40.747149,-73.902481,maintenance code violation,Open,2021
654,61-05,39 AVENUE,11377,QUEENS,40.747149,-73.902481,maintenance code violation,Open,2021
655,61-05,39 AVENUE,11377,QUEENS,40.747149,-73.902481,maintenance code violation,Open,2021
656,61-05,39 AVENUE,11377,QUEENS,40.747149,-73.902481,maintenance code violation,Open,2021
657,91,FT WASHINGTON AVENUE,10032,MANHATTAN,40.838126,-73.94389,maintenance code violation,Close,2021
658,736,RIVERSIDE DRIVE,10031,MANHATTAN,40.830751,-73.949515,maintenance code violation,Close,2021
659,736,RIVERSIDE DRIVE,10031,MANHATTAN,40.830751,-73.949515,maintenance code violation,Close,2021
660,91,FT WASHINGTON AVENUE,10032,MANHATTAN,40.838126,-73.94389,maintenance code violation,Close,2021
661,230,PRESIDENT STREET,11231,BROOKLYN,40.682145,-73.997718,maintenance code violation,Close,2019
662,230,PRESIDENT STREET,11231,BROOKLYN,40.682145,-73.997718,maintenance code violation,Close,2019
663,230,PRESIDENT STREET,11231,BROOKLYN,40.682145,-73.997718,maintenance code violation,Close,2019
664,230,PRESIDENT STREET,11231,BROOKLYN,40.682145,-73.997718,maintenance code violation,Close,2019
665,230,PRESIDENT STREET,11231,BROOKLYN,40.682145,-73.997718,maintenance code violation,Close,2019
666,269,LINDEN STREET,11237,BROOKLYN,40.697737,-73.915157,maintenance code violation,Close,2013
667,269,LINDEN STREET,11237,BROOKLYN,40.697737,-73.915157,maintenance code violation,Close,2013
668,115,EAST MOSHOLU PARKWAY NORTH,10467,BRONX,40.877386,-73.882051,maintenance code violation,Close,2021
669,230,PRESIDENT STREET,11231,BROOKLYN,40.682145,-73.997718,maintenance code violation,Close,2019
670,115,EAST MOSHOLU PARKWAY NORTH,10467,BRONX,40.877386,-73.882051,maintenance code violation,Close,2021
671,230,PRESIDENT STREET,11231,BROOKLYN,40.682145,-73.997718,maintenance code violation,Close,2019
672,2874,GRAND CONCOURSE,10458,BRONX,40.870656,-73.890115,maintenance code violation,Close,2013
673,150-21,14 ROAD,11357,QUEENS,40.787685,-73.812712,maintenance code violation,Close,2021
674,230,PRESIDENT STREET,11231,BROOKLYN,40.682145,-73.997718,maintenance code violation,Close,2019
675,521,ISHAM STREET,10034,MANHATTAN,40.866535,-73.918728,maintenance code violation,Close,2019
676,1166,FULTON STREET,11216,BROOKLYN,40.680804,-73.95418599999999,maintenance code violation,Open,2021
677,180,7 AVENUE,10011,MANHATTAN,40.742609,-73.996741,maintenance code violation,Close,2013
678,884,2 AVENUE,10017,MANHATTAN,40.75309,-73.969812,maintenance code violation,Open,2021
